"","bigram","n"
"1","eucopresident vonderleyen",9795
"2","europarl en",10988
"3","council stopputin",16777
"4","russian aggression",17165
"5","stop russian",17174
"6","aggression ukraine",17301
"7","ukraine nato",17645
"8","ukraine exclude",25434
"9","exclude russia",25488
"10","russia un",25753
"11","un security",25814
"12","security council",25907
"13","nato close",26897
"14","sky ukraine",30334
"15","stopputin stoprussia",30566
"16","close sky",33998
"17","safeairliftukraine stopputin",94194
"18","deaths potus",95448
"19","putin stop",98545
"20","civilian deaths",101293
"21","innocent civilian",101524
"22","defend putin",101601
"23","potus provide",102060
"24","stop innocent",102097
"25","provide safeairliftukraine",102206
"26","needs weapons",102647
"27","weapons humanitarian",102751
"28","assistance defend",102925
"29","humanitarian assistance",102945
"30","ukraine needs",103274
