"","word","n"
"1","defend",1884
"2","ukrainewar",1986
"3","ukrainerussianwar",2088
"4","kyiv",2221
"5","war",2229
"6","unbreakable",2275
"7","unshakable",2276
"8","utterly",2278
"9","zelenskyy’s",2296
"10","solidarity",2316
"11","link",2317
"12","beautiful",2324
"13","tonight",2344
"14","russian",2366
"15","cities",2393
"16","stopputin",2428
"17","prague",2443
"18","address",2452
"19","peace",2514
"20","freedom",2570
"21","european",2575
"22","russianukrainianwar",2812
"23","eu",2864
"24","video",3127
"25","standwithukraine",4151
"26","president",4601
"27","russia",5125
"28","zelenskyy",7837
"29","zelensky",11359
"30","ukraine",14482
